device,model,batch_size,hidden_dim,accelerator,requires_grad,use_torchscript,dropout,act_fn,avg_memory,max_memory,latency,macs,total_params,trainable_params
cuda,feedforward,1.0,1.0,1.0,0.0,0.0,,relu,34358427648.0,34358427648.0,3.398181870579719e-05,1.0,2.0,0.0
cuda,feedforward,1.0,2.0,1.0,0.0,0.0,,relu,34358427648.0,34358427648.0,3.5648979246616366e-05,4.0,6.0,0.0
cuda,feedforward,1.0,4.0,1.0,0.0,0.0,,relu,34358427648.0,34358427648.0,3.36850993335247e-05,16.0,20.0,0.0
cuda,feedforward,1.0,8.0,1.0,0.0,0.0,,relu,34358427648.0,34358427648.0,3.32515686750412e-05,64.0,72.0,0.0
cuda,feedforward,1.0,16.0,1.0,0.0,0.0,,relu,34358427648.0,34358427648.0,0.00023506972938776017,256.0,272.0,0.0
cuda,feedforward,1.0,32.0,1.0,0.0,0.0,,relu,34358427648.0,34358427648.0,0.00023289332166314124,1024.0,1056.0,0.0
cuda,feedforward,1.0,64.0,1.0,0.0,0.0,,relu,34358427648.0,34358427648.0,0.00023443028330802918,4096.0,4160.0,0.0
cuda,feedforward,1.0,256.0,1.0,0.0,0.0,,relu,34358427648.0,34358427648.0,0.0002346877008676529,65536.0,65792.0,0.0
cuda,feedforward,1.0,512.0,1.0,0.0,0.0,,relu,34358427648.0,34358427648.0,0.00023509133607149124,262144.0,262656.0,0.0
cuda,feedforward,1.0,1024.0,1.0,0.0,0.0,,relu,34379399168.0,34379399168.0,0.00024140886962413787,1048576.0,1049600.0,0.0
cuda,feedforward,1.0,2048.0,1.0,0.0,0.0,,relu,34379399168.0,34379399168.0,0.0002659020014107227,4194304.0,4196352.0,0.0
cuda,feedforward,1.0,3072.0,1.0,0.0,0.0,,relu,34417147904.0,34417147904.0,0.0003020063042640686,9437184.0,9440256.0,0.0
cuda,feedforward,1.0,4096.0,1.0,0.0,0.0,,relu,34484256768.0,34484256768.0,0.00035263756290078164,16777216.0,16781312.0,0.0
