device,model,accelerator,batch_size,median,mean,std,min,max,5_pct,95_pct
rpi4_cpu,resnet18,0.0,1.0,5.176654577255249,5.180785655975342,0.0402146671954211,5.136168479919434,5.555567979812622,5.154707193374634,5.204031467437744
rpi4_cpu,alexnet,0.0,1.0,1.585552215576172,1.6717336177825928,0.1859014025377502,1.5795559883117676,2.4064724445343018,1.5804111957550049,2.24429988861084
rpi4_cpu,squeezenet,0.0,1.0,2.251145839691162,2.239189048804859,0.0281564886415899,2.1668543815612793,2.2785496711730957,2.1853396892547607,2.2716243267059326
rpi4_cpu,vgg16,0.0,1.0,52.69086146354675,52.94034885415937,2.4230507181262695,51.10716652870178,68.75891351699829,51.640501260757446,53.49870681762695
rpi4_cpu,densenet,0.0,1.0,18.48411750793457,18.505032858045976,0.1556121991194997,18.250087022781372,19.036428928375244,18.30094051361084,18.8467378616333
rpi4_cpu,inception,0.0,1.0,7.74938178062439,7.737248571792452,0.1002758131184272,7.46657657623291,7.915635824203491,7.5385472774505615,7.859911203384399
rpi4_cpu,googlenet,0.0,1.0,3.972235202789306,3.940971964656717,0.0950066779268273,3.633388996124267,4.070402383804321,3.709012746810913,4.02511739730835
rpi4_cpu,shufflenet,0.0,1.0,0.5187098979949951,0.5242494568966403,0.0112605049526435,0.5115854740142822,0.5614087581634521,0.5130727291107178,0.546630859375
rpi4_cpu,mobilenet_v2,0.0,1.0,1.2481067180633545,1.2663273480859134,0.053633838326067,1.202444314956665,1.4506611824035645,1.2218339443206787,1.390843629837036
rpi4_cpu,mobilenet_v3_large,0.0,1.0,0.8632590770721436,0.8781823899486277,0.0392207186493705,0.850013017654419,1.0449259281158447,0.8519647121429443,0.9957735538482666
rpi4_cpu,mobilenet_v3_small,0.0,1.0,0.2987945079803467,0.3030466632087632,0.0081480406545462,0.2964553833007812,0.3269057273864746,0.2970917224884033,0.3220293521881103
rpi4_cpu,resnext50_32x4d,0.0,1.0,12.69809365272522,12.943999845202606,0.6783080740382463,11.99616312980652,15.043646097183228,12.257683753967283,14.3060884475708
rpi4_cpu,wide_resnet50_2,0.0,1.0,37.997430086135864,38.16735735270056,0.7875006086844449,36.9818480014801,42.62799668312073,37.31827139854431,39.421101331710815
rpi4_cpu,mnasnet,0.0,1.0,1.2734296321868896,1.2766410761540479,0.012803089870774761,1.2496378421783447,1.3098423480987549,1.2588772773742676,1.2965795993804932
