accelerator,act_fn,batch_size,device,dropout,hidden_dim,latency,macs,model,requires_grad,seq_len,total_params,trainable_params,use_dquant,use_torchscript
1.0,relu,1.0,jetson_gpu,,2048.0,0.0048526513006072495,4194304.0,feedforward,0.0,1.0,4196352.0,0.0,0.0,0.0
1.0,relu,1.0,jetson_gpu,,2048.0,0.002715532090514898,8388608.0,feedforward,0.0,2.0,4196352.0,0.0,0.0,0.0
1.0,relu,1.0,jetson_gpu,,2048.0,0.0028314351895824073,16777216.0,feedforward,0.0,4.0,4196352.0,0.0,0.0,0.0
1.0,relu,1.0,jetson_gpu,,2048.0,0.0029337666905485094,33554432.0,feedforward,0.0,8.0,4196352.0,0.0,0.0,0.0
1.0,relu,1.0,jetson_gpu,,2048.0,0.002314004120416939,67108864.0,feedforward,0.0,16.0,4196352.0,0.0,0.0,0.0
1.0,relu,1.0,jetson_gpu,,2048.0,0.002241025739349425,134217728.0,feedforward,0.0,32.0,4196352.0,0.0,0.0,0.0
1.0,relu,1.0,jetson_gpu,,2048.0,0.004195084939710796,268435456.0,feedforward,0.0,64.0,4196352.0,0.0,0.0,0.0
1.0,relu,1.0,jetson_gpu,,2048.0,0.00603443321888335,536870912.0,feedforward,0.0,128.0,4196352.0,0.0,0.0,0.0
1.0,relu,1.0,jetson_gpu,,2048.0,0.012007085150107741,1073741824.0,feedforward,0.0,256.0,4196352.0,0.0,0.0,0.0
1.0,relu,1.0,jetson_gpu,,2048.0,0.02317172721028328,2147483648.0,feedforward,0.0,512.0,4196352.0,0.0,0.0,0.0
1.0,relu,1.0,jetson_gpu,,2048.0,0.04447493892046623,4294967296.0,feedforward,0.0,1024.0,4196352.0,0.0,0.0,0.0
1.0,relu,1.0,jetson_gpu,,2048.0,0.08636293026036583,8589934592.0,feedforward,0.0,2048.0,4196352.0,0.0,0.0,0.0
1.0,relu,1.0,jetson_gpu,,2048.0,0.17057659246958792,17179869184.0,feedforward,0.0,4096.0,4196352.0,0.0,0.0,0.0
